,title,id,developer
0,Counter-Strike,10.0,Valve
1,Team Fortress Classic,20.0,Valve
2,Day of Defeat,30.0,Valve
3,Deathmatch Classic,40.0,Valve
4,Half-Life: Opposing Force,50.0,Gearbox Software
5,Ricochet,60.0,Valve
6,Half-Life,70.0,Valve
7,Half-Life: Blue Shift,130.0,Gearbox Software
8,Day of Defeat: Source,300.0,Valve
9,Counter-Strike: Source,240.0,Valve
10,Psychonauts,3830.0,Double Fine Productions
11,Call of Duty® 2,2630.0,"Infinity Ward,Aspyr (Mac)"
12,Sid Meier's Civilization® IV,3900.0,Firaxis Games
13,Sid Meier's Pirates!,3920.0,Firaxis Games
14,Joint Task Force,6400.0,Most Wanted Entertainment
15,Deus Ex: Game of the Year Edition,6910.0,Ion Storm
16,BioShock™,7670.0,"2K Boston,2K Australia"
17,BioShock™ Remastered,409710.0,"2K Boston,2K Australia,Blind Squirrel,Feral Interactive (Mac)"
18,Half-Life 2,220.0,Valve
19,Half-Life 2: Deathmatch,320.0,Valve
20,Half-Life Deathmatch: Source,360.0,Valve
21,Half-Life 2: Episode One,380.0,Valve
22,Portal,400.0,Valve
23,Half-Life 2: Episode Two,420.0,Valve
24,Overlord™,11450.0,"Triumph Studios,Virtual Programming"
25,Call of Duty® 4: Modern Warfare®,7940.0,"Infinity Ward,Aspyr (Mac)"
26,Medieval II: Total War™,4700.0,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
27,Unreal Gold,13250.0,"Epic Games, Inc."
28,Virtual Villagers: A New Home,16100.0,Last Day of Work
29,Oddworld: Abe's Oddysee®,15700.0,Oddworld Inhabitants
30,Oddworld: Abe's Exoddus®,15710.0,Oddworld Inhabitants
31,Crysis Warhead®,17330.0,Crytek
32,World of Goo,22000.0,2D BOY
33,Left 4 Dead,500.0,Valve
34,Company of Heroes - Legacy Edition,4560.0,Relic Entertainment
35,Mass Effect,17460.0,BioWare
36,Empire: Total War™,10500.0,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
37,Burnout Paradise: The Ultimate Box,24740.0,Criterion Games
38,Zeno Clash,22200.0,ACE Team
39,Braid,26800.0,Number None
40,Killing Floor,1250.0,Tripwire Interactive
41,Defence Alliance 2,35420.0,Defence Alliance Team
42,Plants vs. Zombies GOTY Edition,3590.0,"PopCap Games, Inc."
43,Freedom Force,8880.0,Irrational Games
44,Freedom Force vs. the Third Reich,8890.0,Irrational Games
45,Trine Enchanted Edition,35700.0,Frozenbyte
